Age_Ma,Temperature_C
0,1445
8,1444
24,1444
39,1446
54,1447
69,1448
84,1449
100,1451
115,1452
131,1453
146,1454
161,1455
177,1456
192,1458
207,1459
223,1460
238,1461
253,1462
269,1463
284,1465
299,1466
314,1467
330,1468
345,1469
360,1470
376,1471
391,1472
406,1474
422,1475
437,1476
452,1477
467,1478
483,1479
498,1480
513,1481
529,1483
544,1484
559,1485
575,1486
590,1487
605,1488
621,1489
636,1490
651,1491
666,1492
682,1493
697,1495
712,1496
728,1497
743,1498
758,1499
774,1500
789,1501
804,1502
820,1503
835,1504
850,1505
865,1506
881,1507
896,1508
911,1509
927,1510
942,1511
957,1512
973,1513
988,1514
1003,1515
1018,1516
1034,1517
1049,1518
1064,1519
1080,1519
1095,1520
1110,1521
1126,1522
1141,1523
1156,1524
1172,1525
1187,1526
1202,1526
1217,1527
1233,1528
1248,1529
1263,1530
1279,1531
1294,1531
1309,1532
1325,1533
1340,1534
1355,1535
1371,1536
1386,1536
1401,1537
1416,1538
1432,1539
1447,1540
1462,1540
1478,1541
1493,1542
1508,1543
1524,1544
1539,1545
1554,1545
1569,1546
1585,1547
1600,1548
1615,1549
1631,1549
1646,1550
1661,1551
1677,1552
1692,1553
1707,1554
1723,1554
1738,1555
1753,1556
1768,1557
1784,1558
1799,1558
1814,1559
1830,1560
1845,1561
1860,1561
1876,1562
1891,1563
1906,1564
1922,1564
1937,1565
1952,1566
1967,1566
1983,1567
1998,1568
2013,1568
2029,1569
2044,1570
2059,1570
2075,1571
2090,1572
2105,1572
2120,1573
2136,1573
2151,1574
2166,1574
2182,1575
2197,1576
2212,1576
2228,1577
2243,1577
2258,1578
2274,1578
2289,1579
2304,1579
2319,1580
2335,1580
2350,1581
2365,1581
2381,1582
2396,1582
2411,1583
2427,1583
2442,1584
2457,1584
2473,1585
2488,1585
2503,1586
2518,1586
2534,1587
2549,1587
2564,1588
2580,1588
2595,1588
2610,1589
2626,1589
2641,1590
2656,1590
2671,1591
2687,1591
2702,1592
2717,1592
2733,1592
2748,1593
2763,1593
2779,1594
2794,1594
2809,1595
2825,1595
2840,1595
2855,1596
2870,1596
2886,1597
2901,1597
2916,1598
2932,1598
2947,1599
2962,1599
2978,1599
2993,1600
3008,1600
3024,1601
3039,1601
3054,1602
3069,1602
3085,1602
3100,1603
3115,1603
3131,1604
3146,1604
3161,1604
3177,1605
3192,1605
3207,1606
3222,1606
3238,1606
3253,1607
3268,1607
3284,1607
3299,1608
3314,1608
3330,1608
3345,1609
3360,1609
3376,1609
3391,1610
3406,1610
3421,1610
3437,1610
3452,1611
3467,1611
3483,1611
3498,1611
3513,1612
3529,1612
3544,1612
3559,1612
3575,1613
3590,1613
3605,1613
3620,1613
3636,1613
3651,1614
3666,1614
3682,1614
3697,1614
3712,1614
3728,1614
3743,1615
3758,1615
3773,1615
3789,1615
3804,1615
3819,1615
3835,1615
3850,1615
3865,1615
3881,1615
3896,1615
3911,1616
3927,1616
3942,1616
3957,1616
4000,1616
