Age_Ma,Temperature_C
4007,1528
3997,1529
3993,1531
3989,1529
3982,1530
3982,1529
3974,1530
3974,1529
3966,1530
3966,1529
3959,1530
3959,1529
3951,1530
3951,1528
3943,1530
3943,1528
3936,1530
3936,1528
3928,1530
3928,1528
3920,1530
3920,1528
3912,1529
3912,1528
3905,1529
3905,1528
3897,1529
3897,1528
3889,1529
3889,1528
3881,1529
3882,1528
3874,1529
3874,1528
3866,1529
3866,1527
3858,1529
3859,1527
3851,1529
3851,1527
3843,1529
3842,1527
3835,1529
3836,1527
3827,1529
3827,1527
3820,1529
3819,1527
3812,1528
3813,1527
3804,1528
3804,1527
3797,1528
3796,1526
3789,1528
3789,1526
3781,1528
3781,1526
3773,1528
3773,1526
3766,1528
3766,1526
3758,1528
3758,1526
3750,1528
3750,1526
3743,1528
3743,1526
3735,1528
3735,1526
3727,1528
3727,1525
3719,1527
3719,1526
3712,1527
3712,1526
3704,1527
3704,1525
3696,1527
3696,1525
3688,1527
3689,1525
3681,1527
3681,1525
3673,1527
3673,1525
3665,1527
3665,1525
3658,1527
3658,1525
3650,1526
3650,1525
3642,1526
3642,1525
3634,1526
3635,1524
3627,1526
3627,1525
3619,1526
3618,1524
3611,1526
3612,1524
3604,1526
3604,1524
3596,1526
3595,1524
3588,1526
3589,1524
3580,1526
3580,1524
3573,1526
3572,1524
3565,1525
3566,1524
3557,1525
3557,1524
3550,1525
3549,1523
3542,1525
3542,1523
3534,1525
3534,1523
3526,1525
3526,1523
3519,1525
3519,1523
3511,1525
3511,1523
3503,1525
3503,1523
3495,1525
3496,1523
3488,1525
3488,1523
3480,1525
3480,1523
3472,1524
3473,1523
3465,1524
3465,1523
3457,1524
3456,1522
3449,1524
3450,1522
3441,1524
3441,1522
3434,1524
3433,1522
3426,1524
3426,1522
3418,1524
3418,1522
3411,1524
3410,1522
3403,1524
3403,1522
3395,1523
3395,1522
3387,1523
3387,1521
3380,1523
3380,1521
3372,1523
3372,1522
3364,1523
3364,1521
3357,1523
3357,1521
3349,1523
3349,1521
3341,1523
3341,1521
3333,1523
3333,1521
3326,1523
3326,1521
3318,1523
3317,1521
3310,1522
3311,1521
3302,1522
3302,1521
3295,1522
3294,1520
3287,1522
3288,1520
3279,1522
3279,1520
3272,1522
3271,1520
3264,1522
3264,1520
3256,1522
3256,1520
3248,1522
3248,1520
3241,1522
3241,1520
3233,1522
3233,1520
3225,1522
3225,1520
3218,1521
3218,1520
3210,1521
3210,1520
3202,1521
3201,1519
3194,1521
3195,1519
3187,1521
3187,1519
3179,1521
3179,1519
3171,1521
3172,1519
3164,1521
3164,1519
3156,1521
3156,1519
3148,1521
3148,1519
3140,1520
3140,1519
3133,1520
3133,1519
3125,1520
3124,1518
3117,1520
3118,1518
3109,1520
3109,1519
3102,1520
3102,1519
3094,1520
3094,1518
3086,1520
3087,1518
3079,1520
3079,1518
3071,1520
3071,1518
3063,1520
3063,1518
3055,1520
3055,1518
3048,1520
3047,1518
3040,1520
3040,1518
3032,1520
3032,1518
3025,1520
3025,1518
3017,1520
3017,1518
3009,1520
3009,1518
3001,1520
3002,1518
2994,1519
2994,1518
2986,1519
2986,1518
2978,1519
2978,1517
2971,1519
2971,1517
2963,1519
2963,1517
2955,1519
2955,1517
2947,1519
2947,1517
2940,1519
2940,1517
2932,1519
2932,1517
2924,1519
2924,1517
2916,1519
2916,1517
2909,1519
2909,1517
2901,1519
2901,1517
2893,1519
2893,1517
2886,1519
2885,1517
2878,1518
2878,1516
2870,1518
2870,1517
2862,1518
2862,1517
2855,1518
2854,1516
2847,1518
2848,1516
2839,1518
2839,1516
2832,1518
2832,1516
2824,1518
2823,1516
2816,1518
2817,1516
2808,1518
2808,1516
2801,1518
2801,1516
2793,1518
2793,1516
2785,1518
2786,1516
2778,1517
2778,1516
2770,1517
2769,1516
2762,1517
2762,1515
2754,1517
2754,1516
2747,1517
2747,1516
2739,1517
2738,1515
2731,1517
2732,1515
2723,1517
2723,1515
2716,1517
2716,1515
2708,1517
2708,1515
2700,1517
2701,1515
2693,1517
2693,1515
2685,1517
2684,1515
2677,1517
2678,1515
2669,1516
2669,1515
2662,1516
2662,1515
2654,1516
2654,1514
2646,1516
2647,1514
2639,1516
2639,1514
2631,1516
2630,1514
2623,1516
2624,1514
2615,1516
2615,1514
2608,1516
2608,1514
2600,1516
2600,1514
2592,1516
2592,1514
2585,1516
2585,1514
2577,1516
2576,1514
2569,1515
2570,1514
2561,1515
2561,1514
2554,1515
2553,1513
2546,1515
2547,1513
2538,1515
2538,1513
2530,1515
2530,1513
2523,1515
2523,1513
2515,1515
2515,1513
2507,1515
2507,1513
2500,1515
2500,1513
2492,1514
2492,1513
2484,1514
2484,1513
2476,1514
2477,1512
2469,1514
2469,1513
2461,1514
2460,1512
2453,1514
2454,1512
2446,1514
2446,1512
2438,1514
2438,1512
2430,1514
2430,1512
2422,1514
2423,1512
2415,1513
2414,1512
2407,1513
2407,1511
2399,1513
2399,1511
2392,1513
2392,1511
2384,1513
2384,1511
2376,1512
2376,1511
2368,1512
2368,1511
2361,1512
2361,1510
2353,1512
2353,1510
2345,1512
2345,1510
2337,1512
2338,1510
2330,1511
2329,1510
2322,1511
2322,1510
2314,1511
2315,1509
2307,1511
2306,1509
2299,1511
2299,1509
2291,1511
2291,1509
2283,1510
2283,1509
2276,1510
2276,1508
2268,1510
2268,1508
2260,1510
2260,1508
2253,1510
2253,1508
2245,1510
2245,1508
2237,1509
2237,1508
2229,1509
2230,1507
2222,1509
2221,1507
2214,1509
2214,1507
2206,1509
2207,1507
2199,1508
2198,1507
2191,1508
2191,1507
2183,1508
2184,1506
2175,1508
2175,1506
2168,1508
2168,1506
2160,1508
2161,1506
2152,1507
2152,1505
2144,1507
2144,1505
2137,1507
2137,1505
2129,1507
2129,1505
2121,1507
2121,1505
2114,1506
2114,1505
2106,1506
2106,1504
2098,1506
2098,1504
2090,1506
2091,1504
2083,1506
2083,1504
2075,1505
2074,1504
2067,1505
2068,1503
2060,1505
2060,1503
2052,1505
2051,1503
2044,1505
2044,1503
2036,1504
2037,1503
2029,1504
2028,1502
2021,1504
2020,1502
2013,1504
2014,1502
2006,1504
2006,1502
1998,1504
1998,1502
1990,1503
1990,1502
1982,1503
1983,1501
1975,1503
1975,1501
1967,1503
1966,1501
1959,1502
1959,1501
1952,1502
1952,1500
1944,1502
1944,1500
1936,1502
1936,1500
1928,1502
1928,1500
1921,1501
1920,1500
1913,1501
1914,1499
1905,1501
1906,1499
1897,1501
1897,1499
1890,1501
1889,1499
1882,1500
1882,1498
1874,1500
1875,1498
1867,1500
1867,1498
1859,1500
1859,1498
1851,1499
1851,1498
1843,1499
1843,1497
1836,1499
1836,1497
1828,1499
1828,1497
1820,1498
1820,1496
1813,1498
1813,1496
1805,1498
1805,1496
1797,1497
1797,1495
1789,1497
1790,1495
1782,1496
1782,1495
1774,1496
1774,1494
1766,1496
1766,1494
1759,1495
1759,1493
1751,1495
1751,1493
1743,1494
1743,1492
1735,1494
1735,1492
1728,1493
1727,1491
1720,1493
1720,1491
1713,1490
1712,1492
1705,1490
1705,1492
1698,1489
1697,1491
1690,1489
1690,1491
1683,1489
1677,1487
1675,1490
1669,1487
1667,1489
1661,1487
1659,1488
1654,1486
1651,1488
1647,1486
1641,1485
1639,1487
1633,1485
1631,1486
1625,1485
1623,1486
1618,1484
1615,1485
1611,1484
1605,1483
1603,1485
1597,1483
1595,1484
1590,1482
1587,1483
1582,1481
1579,1483
1574,1481
1571,1482
1566,1480
1564,1482
1559,1480
1556,1481
1551,1480
1546,1478
1544,1480
1538,1478
1535,1480
1530,1478
1528,1479
1523,1477
1520,1479
1515,1477
1512,1478
1507,1476
1504,1478
1500,1476
1497,1477
1492,1475
1489,1477
1484,1475
1481,1476
1476,1474
1474,1476
1468,1473
1467,1475
1461,1473
1456,1472
1454,1474
1448,1472
1445,1474
1440,1472
1438,1473
1433,1471
1430,1472
1425,1470
1422,1472
1417,1470
1414,1471
1410,1469
1407,1471
1402,1469
1399,1470
1394,1468
1391,1470
1386,1468
1384,1469
1378,1467
1376,1469
1371,1467
1368,1468
1363,1466
1360,1468
1355,1466
1353,1467
1348,1465
1345,1466
1340,1465
1337,1466
1332,1464
1330,1465
1325,1464
1319,1463
1317,1465
1312,1462
1309,1464
1304,1462
1301,1463
1296,1461
1294,1463
1289,1461
1286,1462
1281,1460
1278,1462
1273,1460
1270,1461
1266,1459
1263,1461
1258,1459
1255,1460
1250,1458
1247,1460
1242,1458
1240,1459
1235,1457
1232,1458
1227,1456
1224,1458
1219,1456
1216,1457
1211,1455
1209,1457
1204,1455
1201,1456
1196,1455
1191,1453
1189,1456
1183,1453
1180,1455
1175,1453
1173,1454
1168,1452
1165,1454
1160,1452
1157,1453
1153,1452
1146,1451
1145,1452
1139,1451
1132,1449
1131,1451
1124,1449
1124,1451
1116,1449
1116,1450
1110,1447
1108,1449
1103,1447
1097,1446
1095,1448
1090,1446
1084,1445
1082,1447
1077,1445
1071,1444
1069,1446
1064,1444
1059,1443
1056,1445
1052,1443
1047,1442
1045,1444
1040,1442
1034,1441
1032,1443
1027,1441
1021,1440
1019,1442
1014,1440
1009,1438
1006,1440
1002,1439
997,1437
994,1439
989,1438
985,1436
982,1438
978,1436
972,1435
970,1437
965,1435
959,1434
957,1436
952,1434
948,1433
944,1435
940,1433
935,1432
933,1434
928,1432
923,1431
920,1433
916,1431
910,1430
908,1432
903,1430
899,1429
895,1431
892,1429
886,1428
884,1430
879,1428
873,1426
871,1428
866,1427
861,1425
858,1427
854,1425
849,1424
847,1426
841,1424
837,1423
834,1425
830,1423
824,1422
822,1424
817,1422
813,1421
809,1423
805,1421
800,1420
798,1422
793,1420
788,1419
785,1421
781,1419
775,1418
773,1420
768,1418
764,1416
760,1419
757,1417
752,1415
749,1417
745,1416
739,1414
737,1416
732,1415
728,1413
724,1415
720,1413
715,1412
713,1414
708,1412
703,1411
700,1413
696,1411
690,1410
688,1412
683,1410
679,1409
676,1411
672,1409
666,1408
664,1410
659,1408
654,1407
651,1409
647,1407
642,1406
640,1408
634,1406
630,1404
627,1406
623,1405
618,1403
615,1405
611,1403
606,1402
604,1404
598,1403
594,1401
591,1403
587,1401
581,1400
579,1402
574,1400
569,1399
566,1401
562,1399
557,1398
555,1400
550,1398
545,1397
542,1399
538,1397
532,1396
530,1398
525,1396
521,1395
517,1397
513,1395
509,1393
506,1395
502,1394
496,1392
494,1394
489,1393
485,1391
481,1393
477,1391
472,1390
470,1392
465,1390
460,1389
457,1391
453,1389
449,1388
445,1390
441,1388
436,1387
434,1389
429,1387
424,1386
421,1388
417,1386
411,1385
409,1387
404,1385
400,1384
396,1386
393,1384
388,1382
385,1385
381,1383
375,1381
373,1383
368,1382
364,1380
360,1382
357,1380
351,1379
349,1381
344,1379
339,1378
336,1380
332,1378
326,1377
324,1379
319,1377
315,1376
312,1378
308,1376
303,1375
300,1377
296,1375
290,1374
288,1376
283,1374
279,1373
276,1375
272,1373
267,1372
264,1374
260,1372
254,1370
252,1373
247,1371
243,1369
240,1371
236,1369
230,1368
228,1370
223,1368
218,1367
215,1369
211,1367
207,1366
204,1368
200,1366
194,1365
192,1367
187,1365
182,1364
179,1366
175,1364
170,1363
167,1365
162,1363
158,1362
155,1364
151,1362
146,1361
143,1363
139,1361
134,1359
131,1361
126,1360
122,1358
119,1360
115,1358
110,1357
107,1359
103,1357
98,1356
95,1358
90,1356
85,1355
83,1357
77,1355
74,1356
71,1354
67,1356
63,1354
58,1353
56,1355
50,1353
47,1354
44,1351
40,1353
36,1351
32,1350
29,1352
25,1350
19,1349
17,1351
12,1349
6,1348
4,1350
1,1349
-2,1350
