Age_Ma,Temperature_C
0,1300
6,1299
17,1300
28,1300
39,1300
50,1300
60,1301
71,1301
82,1301
93,1302
103,1302
114,1302
125,1302
136,1303
147,1303
157,1303
168,1304
179,1304
190,1304
200,1305
211,1305
222,1305
233,1305
243,1306
254,1306
264,1306
274,1307
285,1307
296,1307
306,1307
317,1308
328,1308
338,1308
348,1309
358,1309
369,1309
380,1309
391,1310
401,1310
412,1310
423,1310
432,1311
443,1311
454,1311
464,1312
475,1312
486,1312
497,1313
507,1313
518,1313
529,1313
540,1314
550,1314
561,1314
572,1315
583,1315
594,1315
604,1316
615,1316
626,1316
637,1316
647,1317
657,1317
667,1317
678,1318
688,1318
698,1318
708,1318
719,1319
730,1319
741,1319
752,1320
762,1320
773,1320
784,1321
795,1321
805,1321
816,1322
827,1322
838,1322
849,1323
859,1323
870,1323
881,1324
892,1324
902,1324
913,1325
924,1325
935,1326
945,1326
956,1326
966,1327
976,1327
987,1327
998,1328
1008,1328
1019,1329
1030,1329
1041,1329
1051,1330
1062,1330
1072,1331
1082,1331
1093,1331
1103,1332
1114,1332
1125,1332
1134,1333
1145,1333
1156,1334
1166,1334
1177,1334
1186,1335
1197,1335
1208,1336
1218,1336
1229,1336
1239,1337
1249,1337
1260,1337
1270,1338
1280,1338
1290,1339
1301,1339
1311,1339
1321,1340
1331,1340
1342,1341
1353,1341
1362,1341
1373,1342
1383,1342
1393,1342
1403,1343
1414,1343
1424,1344
1434,1344
1445,1344
1455,1345
1465,1345
1475,1346
1485,1346
1495,1346
1506,1347
1516,1347
1526,1347
1536,1348
1547,1348
1556,1349
1567,1349
1577,1349
1587,1350
1597,1350
1607,1351
1617,1351
1627,1351
1637,1352
1647,1352
1658,1352
1668,1353
1678,1353
1687,1354
1698,1354
1708,1354
1718,1355
1728,1355
1738,1356
1748,1356
1757,1356
1767,1357
1777,1357
1787,1357
1797,1358
1807,1358
1817,1359
1827,1359
1836,1359
1846,1360
1856,1360
1866,1360
1876,1361
1886,1361
1896,1362
1906,1362
1915,1362
1925,1363
1934,1363
1943,1363
1953,1364
1963,1364
1973,1365
1982,1365
1991,1366
2001,1366
2011,1366
2020,1367
2030,1367
2040,1367
2049,1368
2058,1368
2066,1369
2076,1369
2086,1369
2096,1369
2104,1370
2114,1370
2122,1371
2131,1371
2140,1372
2149,1372
2156,1373
2165,1372
2173,1373
2182,1373
2190,1374
2200,1374
2207,1375
2216,1375
2221,1376
2231,1376
2240,1376
2251,1377
2261,1377
2268,1378
2277,1378
2284,1379
2293,1378
2298,1380
2307,1379
2314,1380
2324,1380
2332,1381
2342,1381
2352,1382
2361,1382
2371,1383
2381,1383
2388,1384
2397,1384
2402,1385
2412,1385
2420,1386
2430,1386
2440,1386
2449,1387
2459,1387
2469,1388
2474,1389
2483,1388
2489,1390
2498,1389
2503,1390
2512,1390
2517,1391
2526,1391
2533,1392
2543,1392
2553,1392
2562,1393
2572,1394
2582,1394
2587,1395
2596,1395
2603,1396
2613,1396
2624,1396
2633,1397
2643,1397
2652,1398
2662,1399
2672,1399
2677,1400
2686,1400
2693,1401
2703,1401
2713,1401
2723,1402
2733,1402
2738,1403
2748,1403
2757,1404
2767,1404
2777,1405
2787,1405
2792,1406
2801,1406
2811,1407
2821,1408
2831,1408
2841,1409
2851,1409
2861,1410
2870,1411
2880,1411
2890,1412
2900,1412
2910,1413
2920,1413
2930,1414
2940,1414
2949,1415
2959,1416
2969,1416
2979,1417
2987,1417
2997,1418
3007,1419
3017,1419
3027,1420
3037,1420
3046,1421
3056,1421
3065,1422
3074,1422
3084,1423
3094,1424
3102,1424
3112,1425
3122,1425
3131,1426
3140,1427
3149,1427
3158,1428
3167,1428
3176,1429
3185,1429
3194,1430
3203,1430
3212,1431
3221,1431
3230,1432
3239,1433
3248,1434
3257,1434
3264,1435
3273,1435
3280,1436
3289,1436
3295,1437
3304,1437
3311,1438
3320,1438
3325,1439
3334,1439
3341,1440
3350,1440
3356,1442
3365,1442
3372,1443
3381,1443
3388,1444
3397,1444
3402,1445
3411,1445
3418,1446
3427,1446
3435,1447
3444,1447
3449,1449
3458,1449
3465,1450
3474,1450
3481,1451
3490,1451
3497,1452
3506,1452
3512,1453
3521,1453
3528,1454
3537,1454
3544,1455
3553,1455
3558,1457
3567,1457
3575,1458
3584,1458
3591,1459
3600,1459
3607,1460
3616,1460
3623,1461
3632,1461
3637,1462
3646,1462
3654,1463
3663,1464
3670,1465
3679,1465
3686,1466
3695,1466
3700,1467
3709,1467
3716,1468
3725,1468
3733,1469
3742,1469
3749,1470
3758,1470
3763,1472
3772,1472
3779,1473
3788,1473
3795,1474
3804,1474
3812,1475
3820,1475
3828,1476
3837,1476
3842,1477
3851,1477
3858,1478
3867,1478
3874,1480
3883,1480
3890,1481
3899,1481
3907,1482
3916,1482
3921,1483
3930,1483
3937,1484
3946,1484
3953,1485
3962,1485
3969,1486
3978,1487
3986,1488
3995,1488
4003,1489
4013,1489
