Age_Ma,Temperature_C
0,1352
3,1350
12,1352
18,1354
28,1355
33,1357
44,1357
47,1359
57,1359
62,1361
73,1362
76,1364
86,1364
92,1366
102,1367
107,1369
118,1369
121,1371
131,1372
137,1374
147,1374
152,1376
163,1376
166,1379
176,1379
181,1381
192,1381
195,1383
205,1384
211,1386
221,1386
226,1388
237,1389
240,1391
250,1391
256,1393
266,1394
271,1396
282,1396
285,1398
295,1398
300,1400
311,1401
314,1403
324,1403
330,1405
340,1406
343,1408
354,1408
359,1410
369,1410
375,1412
385,1413
390,1415
400,1415
406,1417
416,1418
419,1419
430,1420
433,1422
444,1422
447,1424
457,1424
463,1426
473,1426
476,1428
487,1429
492,1431
502,1431
507,1433
518,1433
521,1435
532,1436
535,1437
546,1438
549,1440
559,1440
564,1442
575,1442
578,1444
589,1444
592,1446
602,1446
605,1448
616,1449
621,1451
632,1451
635,1453
646,1453
649,1455
659,1455
662,1457
673,1458
678,1460
689,1460
692,1462
702,1462
705,1464
716,1464
719,1466
730,1466
735,1468
746,1469
749,1471
759,1471
762,1473
773,1473
776,1475
787,1475
792,1477
802,1478
805,1479
816,1480
821,1482
831,1482
837,1484
847,1484
850,1486
861,1487
864,1489
875,1489
880,1491
890,1491
893,1493
904,1493
909,1495
919,1496
925,1498
935,1498
938,1500
949,1500
952,1502
963,1502
968,1504
978,1505
981,1507
992,1507
995,1509
1006,1509
1009,1511
1019,1511
1025,1513
1035,1514
1038,1516
1049,1516
1052,1518
1063,1518
1068,1520
1078,1520
1081,1522
1092,1522
1097,1524
1107,1525
1113,1527
1123,1527
1128,1529
1138,1530
1144,1532
1154,1532
1157,1534
1168,1534
1171,1536
1182,1536
1187,1538
1197,1539
1200,1540
1211,1541
1214,1543
1225,1543
1230,1545
1241,1545
1244,1547
1254,1547
1257,1549
1268,1550
1273,1551
1284,1552
1287,1554
1297,1554
1300,1556
1311,1556
1316,1558
1327,1558
1330,1560
1341,1561
1344,1562
1354,1563
1359,1565
1370,1565
1373,1567
1383,1567
1389,1569
1399,1569
1402,1571
1413,1572
1416,1574
1427,1574
1432,1576
1442,1576
1445,1578
1456,1578
1461,1580
1472,1581
1475,1582
1485,1583
1491,1585
1501,1585
1504,1587
1514,1587
1520,1589
1530,1589
1533,1591
1544,1591
1549,1593
1559,1594
1565,1596
1575,1596
1580,1598
1590,1598
1596,1600
1606,1600
1611,1602
1621,1603
1627,1604
1637,1605
1644,1607
1654,1607
1660,1609
1670,1609
1675,1611
1685,1611
1692,1613
1703,1614
1708,1616
1718,1616
1725,1618
1735,1618
1742,1620
1753,1620
1758,1622
1768,1623
1775,1624
1785,1625
1792,1626
1802,1627
1810,1629
1820,1629
1827,1631
1837,1631
1844,1633
1854,1634
1861,1635
1872,1636
1880,1638
1890,1638
1898,1640
1908,1640
1915,1642
1925,1643
1934,1644
1944,1645
1951,1646
1961,1647
1970,1649
1980,1649
1989,1651
1999,1651
2005,1653
2015,1653
2022,1655
2032,1655
2041,1657
2051,1658
2060,1659
2070,1660
2079,1661
2089,1662
2096,1664
2106,1664
2112,1665
2122,1666
2131,1667
2141,1668
2150,1670
2160,1670
2168,1672
2179,1672
2186,1674
2196,1674
2205,1676
2215,1676
2222,1678
2232,1678
2241,1680
2251,1680
2258,1682
2268,1682
2276,1684
2286,1684
2294,1686
2305,1686
2312,1688
2322,1688
2329,1690
2339,1690
2346,1692
2356,1692
2364,1693
2374,1694
2381,1695
2391,1696
2398,1697
2408,1697
2415,1699
2425,1699
2433,1701
2443,1701
2450,1703
2460,1703
2467,1704
2477,1705
2486,1706
2496,1707
2503,1708
2513,1708
2521,1710
2531,1710
2539,1712
2550,1712
2557,1714
2567,1714
2576,1715
2586,1716
2595,1717
2605,1718
2614,1719
2624,1720
2633,1721
2643,1722
2653,1723
2664,1723
2672,1725
2683,1725
2693,1727
2704,1727
2714,1728
2724,1729
2731,1730
2741,1730
2748,1732
2758,1732
2766,1733
2776,1734
2786,1735
2797,1735
2805,1736
2815,1737
2823,1738
2833,1738
2842,1739
2852,1740
2861,1741
2871,1741
2880,1742
2890,1743
2900,1744
2911,1744
2921,1745
2931,1746
2941,1747
2952,1747
2962,1748
2973,1749
2984,1750
2996,1750
3007,1751
3018,1752
3030,1753
3043,1753
3055,1754
3066,1755
3075,1756
3085,1756
3094,1757
3104,1757
3114,1758
3125,1758
3137,1759
3148,1759
3160,1760
3171,1761
3182,1761
3195,1762
3207,1762
3219,1763
3231,1763
3243,1764
3255,1764
3267,1765
3279,1765
3291,1766
3303,1766
3315,1767
3327,1767
3340,1768
3352,1768
3364,1768
3376,1769
3388,1769
3400,1770
3412,1770
3424,1770
3436,1770
3448,1771
3460,1771
3473,1771
3485,1771
3497,1771
3509,1770
3521,1770
3533,1770
3545,1770
3557,1770
3569,1769
3581,1769
3594,1769
3606,1769
3618,1768
3630,1768
3642,1768
3654,1767
3666,1767
3678,1766
3690,1766
3702,1766
3714,1765
3727,1765
3739,1764
3751,1764
3763,1763
3775,1763
3787,1762
3799,1762
3811,1761
3823,1761
3835,1760
3848,1760
3860,1759
3872,1759
3884,1758
3896,1758
3908,1757
3920,1757
3932,1756
3944,1755
3956,1755
3969,1754
3981,1754
4000,1753
