Age_Ma,Age_Min,Age_Max,Lat,Lon,Predicted_Crustal_Thickness
0.103,0.093,0.113,19.6,-155.7,17.71086813
0.149,0.126,0.172,19.6,-155.7,8.379475905
0.153,0.115,0.191,19.5,-155.7,15.34636931
0.0675,0.06,0.075,19.5,-155.7,20.44616154
0.07,0.067,0.073,19.5,-155.7,23.67138167
0.031,0.022,0.04,19.5,-155.7,24.75258349
0.066,0.058,0.074,19.6,-155.7,13.75700819
0.0625,0.025,0.1,19.3,-155.33,13.27986108
0.0625,0.025,0.1,19.3,-155.33,11.65212769
0.0625,0.025,0.1,19.3,-155.33,15.65557748
0.0625,0.025,0.1,19.3,-155.33,12.68928835
0.0625,0.025,0.1,19.3,-155.33,14.78073967
0.0625,0.025,0.1,19.3,-155.33,20.47393858
0.0625,0.025,0.1,19.3,-155.33,10.75067243
0.0625,0.025,0.1,19.3,-155.33,13.42639293
0.0625,0.025,0.1,19.3,-155.33,13.03475113
0.0625,0.025,0.1,19.3,-155.33,15.17452101
0.0625,0.025,0.1,19.3,-155.33,27.03847513
0.0625,0.025,0.1,19.3,-155.33,12.83810963
0.0625,0.025,0.1,19.3,-155.33,11.37154864
0.0625,0.025,0.1,19.3,-155.33,11.18567903
0.0625,0.025,0.1,19.3,-155.33,13.86061345
0.0625,0.025,0.1,19.3,-155.33,15.10819698
0.00563,0.00563,0.00563,19.83,-155.42,27.92211322
0.00532,0.00532,0.00532,19.83,-155.42,17.05155919
0.00103,0.00103,0.00103,19.85,-155.95,32.10230912
0.00071,0.00071,0.00071,19.61,-155.83,34.63898411
1100,1100,1100,40.33,-92.63,32.53544721
1100,1100,1100,40.33,-92.63,33.24899535
1100,1100,1100,40.33,-92.63,34.41384599
1100,1100,1100,40.33,-92.63,32.81521441
1100,1100,1100,40.33,-92.63,35.85679479
1100,1100,1100,40.33,-92.63,39.12071797
1100,1100,1100,40.33,-92.63,33.06145032
1100,1100,1100,40.33,-92.63,32.76476092
0.00825,0.00825,0.00825,53.5,-168.17,29.09140298
0.00825,0.00825,0.00825,53.4658,-168.0864,28.72286528
0.00825,0.00825,0.00825,53.4658,-168.0875,22.40820381
0.00825,0.00825,0.00825,53.5,-168.17,27.57887578
0.00825,0.00825,0.00825,53.5,-168.17,25.64302119
0.00825,0.00825,0.00825,53.4694,-168.0875,30.93693133
0.00825,0.00825,0.00825,53.5,-168.17,27.27578031
0.00825,0.00825,0.00825,53.5,-168.17,29.89176576
0.00825,0.00825,0.00825,53.5,-168.17,26.02210894
0.00825,0.00825,0.00825,53.5,-168.17,25.33924138
0.00825,0.00825,0.00825,53.4903,-168.1639,33.07341595
0.00825,0.00825,0.00825,53.5,-168.17,31.78415729
0.00825,0.00825,0.00825,53.5,-168.17,29.27800223
0.00825,0.00825,0.00825,53.5,-168.17,27.53689131
0.00825,0.00825,0.00825,53.5,-168.17,28.99324093
0.00825,0.00825,0.00825,53.5,-168.17,29.47341683
0.00825,0.00825,0.00825,53.5,-168.17,24.59499641
0.00825,0.00825,0.00825,53.4736,-168.0878,29.55973058
0.00825,0.00825,0.00825,53.4744,-168.0892,31.90193383
0.00825,0.00825,0.00825,53.5,-168.17,27.61630348
0.00825,0.00825,0.00825,53.4675,-168.0903,25.04131973
0.00825,0.00825,0.00825,53.4028,-168.15,23.90292831
0.00825,0.00825,0.00825,53.4042,-168.1125,27.41019391
0.00825,0.00825,0.00825,53.5,-168.17,28.4972685
0.00825,0.00825,0.00825,53.5,-168.17,28.76705046
0.00825,0.00825,0.00825,53.5,-168.17,25.61122891
0.00825,0.00825,0.00825,53.5,-168.17,25.68390129
0.00825,0.00825,0.00825,53.5,-168.17,29.46364845
11.5,11,12,53.27,-134.51,24.29395745
60,60,60,54.47,-162.725,41.11807111
60,60,60,54.474,-162.816,39.64638742
60,60,60,54.457,-162.689,40.07825654
60,60,60,54.873,-160.191,38.00141048
60,60,60,55.239,-159.506,41.66409019
11.6,11.6,11.6,36.0639,-116.6722,37.08972121
8.7,8.7,8.7,36.0444,-116.6756,60.26711814
9,9,9,35.925,-116.4232,40.93834848
8.5,8.5,8.5,36.4089,-116.9528,42.12838871
8.5,8.5,8.5,36.4081,-116.7819,39.9786859
8,8,8,35.9272,-116.4194,46.4423897
8,8,8,36.0667,-116.5939,56.60468838
6.3,6.3,6.3,36.2633,-116.75,38.54341439
6.5,6.5,6.5,36.2258,-116.7256,52.79822331
5.4,5.4,5.4,36.2144,-116.7197,50.95579929
4.9,4.9,4.9,36.1433,-116.7394,38.07962381
4,4,4,36.1094,-116.6528,32.9609019
0.7,0.7,0.7,35.9397,-116.7342,36.44164681
0.3,0.3,0.3,36.6833,-116.5,36.3144047
4.65,0.3,9,36,-116.5,31.70087262
4.65,0.3,9,36,-116.5,36.64103698
7,0,14,42.5,-111,26.88303303
7,0,14,42.5,-111,28.36337047
7,0,14,42.5,-111,33.98264048
7,0,14,42.5,-111,30.17394377
7,0,14,42.5,-111,28.57675777
7,0,14,42.5,-111,31.63343293
7,0,14,42.5,-111,35.12118595
27.5,25,30,35.13,-109.55,70.47433775
